City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
386,Labuhan,ID,83.8,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
394,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
399,Daru,PG,87.67,overcast clouds,-9.0763,143.2092,Daru Lodge
405,Geraldton,AU,75.2,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
407,Salinopolis,BR,78.06,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
410,Soyo,AO,78.8,broken clouds,-6.1349,12.3689,Hotel Mpampa
414,Gold Coast,AU,84.99,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
418,Dingle,PH,82.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
424,Puerto Lopez,CO,78.22,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
433,Pak Phanang,TH,89.6,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
439,Aitape,PG,79.65,overcast clouds,-3.1374,142.3475,
444,Cockburn Town,TC,77.67,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
446,Ntungamo,UG,81.57,scattered clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
447,Ko Samui,TH,86.0,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
454,Banjar,ID,87.8,few clouds,-8.19,114.9675,The Hamsa Resort
465,Ruwi,OM,75.2,clear sky,23.5996,58.5507,Al Falaj Hotel
467,Manta,EC,78.8,scattered clouds,-0.95,-80.7333,Balandra Hotel
468,Gigmoto,PH,82.08,overcast clouds,13.7796,124.39,Cj's Travellers Inn
469,Conde,BR,75.2,few clouds,-7.2597,-34.9075,Pousada Beija Flor
483,Ampanihy,MG,85.6,scattered clouds,-24.7,44.75,Angora Hotel
492,Wattegama,LK,87.8,few clouds,6.7989,81.4808,
497,Cam Ranh,VN,80.6,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
504,Banda Aceh,ID,87.26,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
506,Lorengau,PG,84.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
508,Alice Town,BS,75.85,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
512,Richards Bay,ZA,82.27,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
516,Marsh Harbour,BS,75.45,clear sky,26.5412,-77.0636,Abaco Beach Resort
517,Garowe,SO,79.68,clear sky,8.4054,48.4845,Curubo Hotel
520,Nabire,ID,82.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
527,Luganville,VU,81.09,broken clouds,-15.5333,167.1667,The Espiritu Hotel
531,Paracuru,BR,79.0,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
533,Hervey Bay,AU,88.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
534,Doha,QA,77.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
543,Maria Aurora,PH,83.43,overcast clouds,15.7967,121.4737,Attic Travellers Inn
544,Loiza,PR,75.2,few clouds,18.4313,-65.8802,Malibu Beachfront
554,French Harbor,HN,80.6,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
562,Honiara,SB,79.59,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
564,Tabou,CI,77.59,overcast clouds,4.423,-7.3528,hotêl doufoulougou
567,Santa Teresa,VE,77.0,clear sky,10.2341,-66.6631,Funeraria Lira
570,Manokwari,ID,81.28,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
572,Qandala,SO,78.37,few clouds,11.472000000000001,49.8728,
574,Cartagena,CO,78.8,clear sky,10.3997,-75.5144,Costa Del Sol
577,Mangochi,MW,79.38,light rain,-14.4782,35.2645,Fort Johnstone Hotel
580,Castanhal,BR,77.0,clear sky,-1.2939,-47.9264,ESTAÇÃO HOTEL
583,Lae,PG,89.6,scattered clouds,-6.7221,146.9847,Phils Hotel
585,Itarema,BR,75.29,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
590,Anloga,GH,80.6,scattered clouds,5.7947,0.8973,Pin Drop Hotel
594,Amaigbo,NG,78.91,overcast clouds,5.7892,7.8383,Ikemba Guest House
598,Amparafaravola,MG,80.67,overcast clouds,-17.5833,48.2167,Aina Franco
600,Tucurui,BR,75.36,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
605,Akyab,MM,80.76,clear sky,20.15,92.9,Hotel Memory
608,Karratha,AU,84.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
610,Ugoofaaru,MV,81.57,overcast clouds,5.6667,73.0,Ungoofaaru Inn
611,Nhulunbuy,AU,82.4,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
617,Sesheke,ZM,75.67,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
618,Gladstone,AU,87.8,broken clouds,-23.85,151.25,Highpoint International
625,Marovoay,MG,84.2,broken clouds,-16.1,46.6333,
626,Belawan,ID,87.8,scattered clouds,3.7755,98.6832,Lilik Hidayat Pulungan
627,Vanimo,PG,79.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
630,Alugan,PH,81.3,overcast clouds,12.2188,125.4808,JM Lodge
632,Masinigudi,IN,80.4,clear sky,11.5667,76.6667,Jungle Palace
637,Grand Baie,MU,84.99,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
638,Veraval,IN,82.74,clear sky,20.9,70.3667,Lords Inn Somnath
639,Harper,LR,78.35,overcast clouds,4.375,-7.7169,Screensaver
643,Buala,SB,78.44,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
645,Meulaboh,ID,86.79,scattered clouds,4.1363,96.1285,Kost Pria
647,Kpandu,GH,79.03,overcast clouds,6.9954,0.2931,Emo House
649,Merauke,ID,83.86,moderate rain,-8.4667,140.3333,
651,Bonthe,SL,75.42,clear sky,7.5264,-12.505,Bonthe Holiday Village
655,Areia Branca,BR,76.89,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
656,Colon,PA,78.01,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
658,Sungairaya,ID,80.92,light rain,0.7,108.9,Mess P.Milu
659,Ambilobe,MG,85.55,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
661,Port Macquarie,AU,81.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
663,Angoram,PG,82.29,overcast clouds,-4.0625,144.0661,
667,Medowie,AU,79.0,clear sky,-32.7333,151.8667,
669,Kismayo,SO,82.26,clear sky,-0.3582,42.5454,Agan-Hotel
674,Grand Gaube,MU,84.99,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
