City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yumen,CN,40.2833,97.2,43.9,39,100,2.35,overcast clouds
80,Grindavik,IS,63.8424,-22.4338,33.8,60,0,16.11,clear sky
81,Tura,IN,25.5198,90.2201,77.52,29,1,4.92,clear sky
82,Oum Hadjer,TD,13.2954,19.6966,66.49,25,2,12.5,clear sky
83,Hilo,US,19.7297,-155.09,69.8,68,20,4.61,few clouds
84,Kununurra,AU,-15.7667,128.7333,91.4,66,40,8.05,scattered clouds
85,Guider,CM,9.9342,13.9486,73.0,20,80,5.53,broken clouds
86,Norman Wells,CA,65.282,-126.8329,-25.6,68,75,3.44,broken clouds
87,Sobolevo,RU,54.4299,31.8996,-2.61,92,0,8.99,clear sky
88,Sohag,EG,26.557,31.6948,53.6,76,0,6.91,clear sky
89,Buenos Aires,AR,-34.6132,-58.3772,73.0,94,75,11.5,broken clouds
90,Albany,US,42.6001,-73.9662,19.0,58,100,0.6,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,46,1.01,scattered clouds
92,Yeppoon,AU,-23.1333,150.7333,89.6,66,40,10.36,scattered clouds
93,Upernavik,GL,72.7868,-56.1549,20.52,78,100,6.96,overcast clouds
94,Victoria,HK,22.2855,114.1577,77.0,47,20,6.91,few clouds
95,Carnarvon,AU,-24.8667,113.6333,86.0,100,40,10.36,scattered clouds
96,Muros,ES,42.7762,-9.0603,46.0,93,40,5.75,fog
97,Tiksi,RU,71.6872,128.8694,-25.74,85,99,6.82,overcast clouds
98,Praya,CV,14.9215,-23.5087,68.0,64,75,16.11,broken clouds
99,Hithadhoo,MV,-0.6,73.0833,81.9,73,56,10.96,broken clouds
100,Kirovo-Chepetsk,RU,58.5539,50.0399,-5.37,90,100,10.18,snow
101,Khatanga,RU,71.9667,102.5,-31.49,79,0,8.81,clear sky
102,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,24.16,snow
103,Mugur-Aksy,RU,50.35,90.5,17.29,89,0,8.48,clear sky
104,Airai,TL,-8.9266,125.4092,68.79,98,100,3.27,overcast clouds
105,Carutapera,BR,-1.195,-46.02,76.66,90,69,3.69,broken clouds
106,Yantzaza,EC,-3.8278,-78.7594,68.0,84,99,0.43,overcast clouds
107,Livani,LV,56.3543,26.1758,1.06,92,0,3.15,clear sky
108,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,90,35.68,snow
109,Chekhov,RU,55.1431,37.4711,3.2,78,75,11.18,light snow
110,Cayenne,GF,4.9333,-52.3333,75.2,100,75,8.05,broken clouds
111,Bambanglipuro,ID,-7.95,110.2833,84.9,73,100,8.68,overcast clouds
112,Melaka,MY,2.196,102.2405,91.4,58,20,5.75,few clouds
113,Gornyy,RU,55.1153,83.9059,32.25,99,100,22.55,light snow
114,Sambava,MG,-14.2667,50.1667,85.8,61,77,3.83,broken clouds
115,Lavrentiya,RU,65.5833,-171.0,-11.97,78,0,1.48,clear sky
116,Hambantota,LK,6.1241,81.1185,87.8,74,20,13.8,few clouds
117,Rendsburg,DE,54.3,9.6667,27.0,68,75,31.07,broken clouds
118,El Reno,US,35.5323,-97.955,26.01,93,90,11.5,overcast clouds
119,Bluff,NZ,-46.6,168.3333,59.47,83,99,8.3,overcast clouds
120,Iralaya,HN,15.0,-83.2333,77.14,84,0,9.8,clear sky
121,Saint George,US,37.1041,-113.5841,44.01,39,1,2.37,clear sky
122,Bethel,US,41.3712,-73.414,28.0,79,1,2.3,clear sky
123,Vetapalem,IN,15.7833,80.3167,82.31,44,100,6.49,overcast clouds
124,Pandan,PH,14.0453,124.1694,81.77,78,67,15.14,broken clouds
125,Batagay-Alyta,RU,67.8006,130.4114,-31.29,83,73,1.52,broken clouds
126,Pisco,PE,-13.7,-76.2167,71.6,83,40,3.44,scattered clouds
127,Cochrane,CA,51.1834,-114.4687,-9.99,77,90,6.91,light snow
128,Takoradi,GH,4.8845,-1.7554,79.0,88,100,6.49,overcast clouds
129,Muisne,EC,0.6,-80.0333,76.33,89,38,2.35,moderate rain
130,Guarapari,BR,-20.6667,-40.4975,71.6,88,90,6.91,overcast clouds
131,Matara,LK,5.9485,80.5353,87.49,57,28,4.23,scattered clouds
132,Tarakan,ID,3.3,117.6333,82.4,83,40,2.3,scattered clouds
133,Husavik,IS,66.0449,-17.3389,33.8,69,90,3.44,overcast clouds
134,Naze,JP,28.3667,129.4833,68.0,52,20,13.8,few clouds
135,Dalianwan,CN,39.0286,121.695,30.2,37,0,13.42,clear sky
136,Byron Bay,AU,-28.65,153.6167,82.4,74,90,10.36,overcast clouds
137,Akureyri,IS,65.6835,-18.0878,33.8,69,90,3.44,overcast clouds
138,Kalaleh,IR,37.3807,55.4916,53.6,87,90,4.61,overcast clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,62.01,70,0,1.01,clear sky
140,Ixtapa,MX,20.7,-105.2,66.99,84,2,2.19,clear sky
141,Houma,US,29.5958,-90.7195,54.0,94,90,12.66,overcast clouds
142,Podor,MR,16.6527,-14.9587,59.0,63,0,4.61,clear sky
143,Price,US,39.5994,-110.8107,33.8,47,1,5.75,clear sky
144,Koutiala,ML,12.3917,-5.4642,69.84,23,0,9.82,clear sky
145,Kualakapuas,ID,-3.0091,114.3876,87.8,70,40,4.61,scattered clouds
146,Nautla,MX,20.2167,-96.7833,72.25,89,73,11.05,broken clouds
147,Izumo,JP,35.3667,132.7667,51.8,66,40,8.05,scattered clouds
148,Fauske,NO,67.2588,15.3918,19.0,91,99,3.22,overcast clouds
149,Guanay,BO,-15.4975,-67.8797,70.86,85,58,0.98,broken clouds
150,Ancud,CL,-41.8697,-73.8203,54.0,71,0,4.61,clear sky
151,Namibe,AO,-15.1961,12.1522,68.0,83,75,8.05,broken clouds
152,Kavieng,PG,-2.5744,150.7967,84.96,70,86,7.23,overcast clouds
153,Srednekolymsk,RU,67.45,153.6833,-10.46,84,100,5.55,overcast clouds
154,Sola,VU,-13.8833,167.55,86.0,79,75,8.14,broken clouds
155,Calvinia,ZA,-31.4707,19.776,70.95,52,0,5.39,clear sky
156,Barrow,US,71.2906,-156.7887,-5.8,77,90,14.97,light snow
157,Beringovskiy,RU,63.05,179.3167,-9.08,90,96,11.77,overcast clouds
158,Talkha,EG,31.0539,31.3779,58.89,85,0,3.44,clear sky
159,Touros,BR,-5.1989,-35.4608,73.4,94,20,3.44,few clouds
160,Jasper,US,37.2001,-94.3502,24.8,74,90,13.8,overcast clouds
161,Dikson,RU,73.5069,80.5464,-27.27,87,91,10.29,overcast clouds
162,Vaitape,PF,-16.5167,-151.75,82.6,67,31,7.99,scattered clouds
163,Kloulklubed,PW,7.0419,134.2556,82.4,83,90,11.5,overcast clouds
164,Mogadishu,SO,2.0371,45.3438,80.6,61,75,19.57,broken clouds
165,Urumqi,CN,43.801,87.6005,14.0,92,20,2.24,light snow
166,Kavaratti,IN,10.5669,72.642,81.73,63,0,8.25,clear sky
167,Bira,RU,49.0,132.4667,4.78,85,98,4.07,snow
168,Gizo,SB,-8.103,156.8419,84.54,71,100,5.61,overcast clouds
169,Karera,IN,25.4667,78.15,74.25,21,0,6.2,clear sky
170,Saint-Pierre,RE,-21.3393,55.4781,87.8,62,0,10.36,clear sky
171,Linjiang,CN,41.8069,126.9078,20.97,85,100,9.4,overcast clouds
172,Gotsu,JP,35.0,132.2167,57.2,54,40,8.05,scattered clouds
173,Wanaka,NZ,-44.7,169.15,70.68,46,2,8.46,clear sky
174,Berlevag,NO,70.8578,29.0864,25.25,91,100,24.96,overcast clouds
175,Emba,KZ,48.8264,58.1442,16.95,93,99,13.31,overcast clouds
176,Pangnirtung,CA,66.1451,-65.7125,21.43,80,64,3.18,broken clouds
177,Mount Gambier,AU,-37.8333,140.7667,64.4,55,90,18.41,overcast clouds
178,Lebu,CL,-37.6167,-73.65,57.7,92,95,4.38,overcast clouds
179,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,100,75,4.47,light snow
180,Ponta Do Sol,PT,32.6667,-17.1,54.0,66,85,3.0,overcast clouds
181,Avera,US,33.194,-82.5271,39.2,93,90,8.05,moderate rain
182,Kibondo,TZ,-3.5864,30.7203,70.18,84,59,1.28,light rain
183,Union,US,40.6334,-74.2663,33.8,69,1,5.12,clear sky
184,Shimoda,JP,34.6667,138.95,60.8,51,0,19.57,clear sky
185,Summerville,US,33.0185,-80.1757,43.0,93,90,11.5,light rain
186,Madison,US,34.7334,-86.5667,36.0,100,90,6.91,snow
187,Parian Dakula,PH,5.5567,120.7719,82.49,72,100,4.36,overcast clouds
